Name,Mode,Binding Energy (kcal/mol),RMSD l.b.,RMSD u.b.
WSA268_Conformation8,8,-6.2,3.499,10.734
WSA268_Conformation9,9,-6.2,2.524,9.07
WSA266_Conformation1,1,-6.3,0.0,0.0
WSA266_Conformation2,2,-6.3,2.657,4.687
WSA266_Conformation3,3,-6.2,3.183,5.561
WSA266_Conformation4,4,-6.2,3.276,5.454
WSA266_Conformation5,5,-6.0,4.684,8.019
WSA266_Conformation6,6,-6.0,1.523,2.01
WSA266_Conformation7,7,-5.9,6.603,13.369
WSA266_Conformation8,8,-5.9,2.229,8.101
WSA266_Conformation9,9,-5.9,3.575,9.905
